Field ID	Description	Short_Name	Category	Category_Name
25695	WA OD in tract medial lemniscus (R)			Diffusion_brain_MRI
25696	WA OD in tract posterior thalamic radiation (L)			Diffusion_brain_MRI
25697	WA OD in tract posterior thalamic radiation (R)			Diffusion_brain_MRI
25698	WA OD in tract superior longitudinal fasciculus (L)			Diffusion_brain_MRI
25699	WA OD in tract superior longitudinal fasciculus (R)			Diffusion_brain_MRI
25700	WA OD in tract superior thalamic radiation (L)			Diffusion_brain_MRI
25701	WA OD in tract superior thalamic radiation (R)			Diffusion_brain_MRI
25702	WA OD in tract uncinate fasciculus (L)			Diffusion_brain_MRI
25703	WA OD in tract uncinate fasciculus (R)			Diffusion_brain_MRI
25704	WA ISOVF in tract acoustic radiation (L)			Diffusion_brain_MRI
25705	WA ISOVF in tract acoustic radiation (R)			Diffusion_brain_MRI
25707	WA ISOVF in tract anterior thalamic radiation (R)			Diffusion_brain_MRI
25708	WA ISOVF in tract cingulate gyrus part of cingulum (L)			Diffusion_brain_MRI
25709	WA ISOVF in tract cingulate gyrus part of cingulum (R)			Diffusion_brain_MRI
25712	WA ISOVF in tract corticospinal tract (L)			Diffusion_brain_MRI
25713	WA ISOVF in tract corticospinal tract (R)			Diffusion_brain_MRI
25716	WA ISOVF in tract inferior fronto-occipital fasciculus (L)			Diffusion_brain_MRI
25717	WA ISOVF in tract inferior fronto-occipital fasciculus (R)			Diffusion_brain_MRI
25718	WA ISOVF in tract inferior longitudinal fasciculus (L)			Diffusion_brain_MRI
25719	WA ISOVF in tract inferior longitudinal fasciculus (R)			Diffusion_brain_MRI
25723	WA ISOVF in tract posterior thalamic radiation (L)			Diffusion_brain_MRI
25724	WA ISOVF in tract posterior thalamic radiation (R)			Diffusion_brain_MRI
25725	WA ISOVF in tract superior longitudinal fasciculus (L)			Diffusion_brain_MRI
25726	WA ISOVF in tract superior longitudinal fasciculus (R)			Diffusion_brain_MRI
25727	WA ISOVF in tract superior thalamic radiation (L)			Diffusion_brain_MRI
25728	WA ISOVF in tract superior thalamic radiation (R)			Diffusion_brain_MRI
25729	WA ISOVF in tract uncinate fasciculus (L)			Diffusion_brain_MRI
25730	WA ISOVF in tract uncinate fasciculus (R)			Diffusion_brain_MRI
25026	Median T2star in thalamus (L)			Susceptibility_weighted_brain_MRI
25027	Median T2star in thalamus (R)			Susceptibility_weighted_brain_MRI
25028	Median T2star in caudate (L)			Susceptibility_weighted_brain_MRI
25029	Median T2star in caudate (R)			Susceptibility_weighted_brain_MRI
25030	Median T2star in putamen (L)			Susceptibility_weighted_brain_MRI
25031	Median T2star in putamen (R)			Susceptibility_weighted_brain_MRI
25032	Median T2star in pallidum (L)			Susceptibility_weighted_brain_MRI
25033	Median T2star in pallidum (R)			Susceptibility_weighted_brain_MRI
25034	Median T2star in hippocampus (L)			Susceptibility_weighted_brain_MRI
25036	Median T2star in amygdala (L)			Susceptibility_weighted_brain_MRI
25037	Median T2star in amygdala (R)			Susceptibility_weighted_brain_MRI
25039	Median T2star in accumbens (R)			Susceptibility_weighted_brain_MRI
25000	Volumetric scaling from T1 head image to standard space			T1_structural_brain_MRI
25001	Vol. of peripheral cortical grey matter (normalised for head size)			T1_structural_brain_MRI
25002	Vol. of peripheral cortical grey matter			T1_structural_brain_MRI
25003	Vol. of ventricular cerebrospinal fluid (normalised for head size)			T1_structural_brain_MRI
25004	Vol. of ventricular cerebrospinal fluid			T1_structural_brain_MRI
25005	Vol. of grey matter (normalised for head size)			T1_structural_brain_MRI
25006	Vol. of grey matter			T1_structural_brain_MRI
25007	Vol. of white matter (normalised for head size)			T1_structural_brain_MRI
25008	Vol. of white matter			T1_structural_brain_MRI
25009	Vol. of brain, grey+white matter (normalised for head size)			T1_structural_brain_MRI
25010	Vol. of brain, grey+white matter			T1_structural_brain_MRI
25011	Vol. of thalamus (L)			T1_structural_brain_MRI
25012	Vol. of thalamus (R)			T1_structural_brain_MRI
25013	Vol. of caudate (L)			T1_structural_brain_MRI
25014	Vol. of caudate (R)			T1_structural_brain_MRI
25015	Vol. of putamen (L)			T1_structural_brain_MRI
25016	Vol. of putamen (R)			T1_structural_brain_MRI
25017	Vol. of pallidum (L)			T1_structural_brain_MRI
25018	Vol. of pallidum (R)			T1_structural_brain_MRI
25019	Vol. of hippocampus (L)			T1_structural_brain_MRI
25021	Vol. of amygdala (L)			T1_structural_brain_MRI
25022	Vol. of amygdala (R)			T1_structural_brain_MRI
25023	Vol. of accumbens (L)			T1_structural_brain_MRI
25024	Vol. of accumbens (R)			T1_structural_brain_MRI
25025	Vol. of brain stem + 4th ventricle			T1_structural_brain_MRI
25734	Inverted signal-to-noise ratio in T1			T1_structural_brain_MRI
25782	Vol. of grey matter in Frontal Pole (L)			T1_structural_brain_MRI
25784	Vol. of grey matter in Insular Cortex (L)			T1_structural_brain_MRI
25785	Vol. of grey matter in Insular Cortex (R)			T1_structural_brain_MRI
25786	Vol. of grey matter in Superior Frontal Gyrus (L)			T1_structural_brain_MRI
25787	Vol. of grey matter in Superior Frontal Gyrus (R)			T1_structural_brain_MRI
25788	Vol. of grey matter in Middle Frontal Gyrus (L)			T1_structural_brain_MRI
25789	Vol. of grey matter in Middle Frontal Gyrus (R)			T1_structural_brain_MRI
25791	Vol. of grey matter in Inferior Frontal Gyrus, pars triangularis (R)			T1_structural_brain_MRI
25793	Vol. of grey matter in Inferior Frontal Gyrus, pars opercularis (R)			T1_structural_brain_MRI
25794	Vol. of grey matter in Precentral Gyrus (L)			T1_structural_brain_MRI
25795	Vol. of grey matter in Precentral Gyrus (R)			T1_structural_brain_MRI
25796	Vol. of grey matter in Temporal Pole (L)			T1_structural_brain_MRI
25797	Vol. of grey matter in Temporal Pole (R)			T1_structural_brain_MRI
25798	Vol. of grey matter in Superior Temporal Gyrus, anterior division (L)			T1_structural_brain_MRI
25799	Vol. of grey matter in Superior Temporal Gyrus, anterior division (R)			T1_structural_brain_MRI
