Field.ID	Description	Category	Category_Name
25530	WA_MD_in_tract_inferior_longitudinal_fasciculus_(R)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25531	WA_MD_in_tract_middle_cerebellar_peduncle	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25533	WA_MD_in_tract_medial_lemniscus_(R)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25536	WA_MD_in_tract_superior_longitudinal_fasciculus_(L)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25538	WA_MD_in_tract_superior_thalamic_radiation_(L)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25539	WA_MD_in_tract_superior_thalamic_radiation_(R)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25540	WA_MD_in_tract_uncinate_fasciculus_(L)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25541	WA_MD_in_tract_uncinate_fasciculus_(R)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25542	WA_MO_in_tract_acoustic_radiation_(L)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25543	WA_MO_in_tract_acoustic_radiation_(R)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25544	WA_MO_in_tract_anterior_thalamic_radiation_(L)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25545	WA_MO_in_tract_anterior_thalamic_radiation_(R)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25548	WA_MO_in_tract_parahippocampal_part_of_cingulum_(L)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25549	WA_MO_in_tract_parahippocampal_part_of_cingulum_(R)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25551	WA_MO_in_tract_corticospinal_tract_(R)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25553	WA_MO_in_tract_forceps_minor	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25555	WA_MO_in_tract_inferior_fronto-occipital_fasciculus_(R)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25558	WA_MO_in_tract_middle_cerebellar_peduncle	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
